objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","204305","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776080","6.96439","7.55506","2.2079","533","18198","thing","Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","1","8","90","90","90","2016","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","",""
"Shipyard","55600","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53340836","6.67271","7.31989","3.5","938","4800","thing","Shipyard","2","4","120","120","120","2009","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Showdown","192226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637320","5.5203","6.29865","1","18824","122","thing","Showdown","3","8","45","45","45","2016","3,4,5,6,7,8","8","8+","","","","","","","standalone","","R&R Games","English","2016","English edition"
"Sid Meier's Civilization: The Board Game","77130","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481773","7.06895","7.37099","3.8994","418","22379","thing","Sid Meier's Civilization: The Board Game","2","4","240","240","120","2010","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Skull","92415","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478479","7.01313","7.17631","1.1178","472","44810","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Smash Up","122522","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","56818567","6.51568","6.69459","2.062","1255","47612","thing","Smash Up","2","4","45","45","45","2012","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Snapshot","66116","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635167","5.5735","6.18387","1.25","10803","367","thing","Snapshot","2","6","30","30","30","2010","2,3,4,5,6","3","5+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","2010","KOSMOS first edition"
"Sneaks & Snitches","55601","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481857","5.74028","6.30067","1.4079","5473","1307","thing","Sneaks & Snitches","2","5","20","20","20","2010","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Snorta!","11231","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479888","5.72124","6.09234","1.1007","5766","3078","thing","Snorta!","3","8","20","20","20","2004","4,5,6,7,8","6,7","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Snowdonia","119432","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","56015502","6.74749","7.30667","2.9934","816","5040","thing","Snowdonia","1","5","90","90","30","2012","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Sole Mio!","13530","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637899","5.69742","6.23412","1.4474","6201","2021","thing","Sole Mio!","2","5","40","40","40","2004","2,3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE","English; French; German; Italian","2004","Multilingual edition"
"Space Dealer","23451","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633672","5.9198","6.50642","2.4058","3640","1792","thing","Space Dealer","3","4","30","30","30","2006","3,4","4","12+","No necessary in-game text","","","","","","standalone","","eggertspiele","English; German","2006","English/German first edition"
"Spectaculum","104573","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479523","5.81577","6.57947","1.7308","4511","1321","thing","Spectaculum","2","4","45","45","30","2012","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Speed Cups","146149","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633254","5.75013","6.18371","1.037","5322","3230","thing","Quick Cups","2","4","15","15","15","2013","2,3,4","4","4+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2013","German first edition"
"Spinnentwist","20036","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481620","5.51909","6.38846","2.2","19158","105","thing","Spinnentwist","2","2","30","30","30","2005","2","2","10+","","","","","","","standalone","","","","",""
"Spirit Island","162886","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775608","8.14084","8.33918","4.0759","11","93118","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Splendor","148228","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478454","7.29201","7.41879","1.777","238","133410","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Sputnik","18902","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634831","5.49795","5.52172","1.2778","25414","312","thing","Sputnik","2","6","15","15","15","2005","2,3,4,6","2","8+","No necessary in-game text","","","","","","standalone","","Gigamic","English; Finnish; French; Greek; Japanese; Norwegian; Russian; Swedish","2005","First edition"
"Spyfall","166384","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634633","6.60557","6.74489","1.23","1059","30606","thing","Spyfall","3","8","15","15","15","2015","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Cryptozoic Entertainment","English","2015","English third edition"
"Star Realms","147020","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478490","7.40367","7.55363","1.9153","170","70195","thing","Star Realms","2","2","20","20","20","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Star Realms: Colony Wars","182631","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54048832","7.26164","7.78345","1.8839","254","19490","thing","Star Realms: Colony Wars","2","2","20","20","20","2015","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Star Wars: Imperial Assault","164153","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54831389","7.65431","7.95668","3.3013","81","44543","thing","Star Wars: Imperial Assault","2","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Star Wars: Rebellion","187645","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776151","8.16864","8.41983","3.7468","10","55717","thing","Star Wars: Rebellion","2","4","240","240","180","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Start Player","38318","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638259","5.74923","6.34235","1","5332","1983","thing","Start Player","2","99","1","1","1","2008","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","4+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","DV Games; Z-Man Games","English; Italian","2008","English/Italian edition 2008"
"Steam Park","121410","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53340831","6.43734","6.81705","2.1171","1456","9676","thing","Steam Park","2","4","60","60","60","2013","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Steam Time","180592","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481676","6.18366","7.04225","2.9118","2258","3347","thing","Steam Time","2","4","90","90","90","2015","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Steel Driver","37387","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52115270","6.18104","6.96616","2.7982","2264","2293","thing","Steel Driver","3","6","90","90","60","2008","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Sticheln","354","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637845","6.47662","7.04476","1.8969","1352","5728","thing","Stick 'Em","3","8","60","60","30","1995","3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","AMIGO","German","1995","German third edition"
"Stix","35446","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51816124","0","5.5","0","0","49","thing","Stix","2","8","5","5","5","2007","","","","","","","","","","standalone","","","","",""
"Stone Age","34635","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478678","7.38442","7.5142","2.457","183","61225","thing","Stone Age","2","4","90","90","60","2008","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"La Strada","9675","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633946","5.76779","6.19659","1.8383","5091","1817","thing","La Strada","2","4","30","30","30","2004","3,4","4","8+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","2004","German edition"
"Strada Romana","38858","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479212","5.58745","6.14837","2.1053","9877","629","thing","Strada Romana","2","5","45","45","45","2009","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Straw","22497","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479908","5.72415","6.22876","1.0395","5712","1515","thing","Straw","2","6","30","30","30","2006","2,3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Strozzi","35572","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","51481714","5.94281","6.70861","2.2381","3473","1764","thing","Strozzi","3","6","60","60","60","2008","3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Suburbia","123260","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775734","7.28429","7.4611","2.7569","242","31080","thing","Suburbia","1","4","90","90","60","2012","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Sultans of Karaya","94365","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636853","5.60409","6.3185","1.76","8987","637","thing","Sultans of Karaya","5","15","60","60","60","2011","6,7,8,9,10,11,12,13,14,15","8,9","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","MJ Games","English; French","2011","Multilingual first edition"
"Summoner Wars: Master Set","93260","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478981","7.09358","7.471","2.5157","395","13495","thing","Summoner Wars: Master Set","2","4","60","60","30","2011","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Sunken City","9021","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635629","5.67317","6.15673","1.9899","6750","1345","thing","Sunken City","2","4","45","45","45","2004","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Clementoni; Überplay","English","2004","English edition"
"Survive: Escape from Atlantis!","2653","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634893","7.11603","7.31086","1.6931","368","41076","thing","Survive: Escape from Atlantis!","2","4","60","60","45","1982","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Sushi Go!","133473","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634398","6.8737","6.9855","1.1632","644","94786","thing","Sushi Go!","2","5","15","15","15","2016","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","Devir","Portuguese","2016","Portuguese edition"
"Sushizock im Gockelwok","37400","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480811","6.03311","6.51352","1.2194","2927","4237","thing","Sushizock im Gockelwok","2","5","20","20","20","2008","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"T.I.M.E Stories","146508","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481678","7.15205","7.35353","2.5882","340","43197","thing","T.I.M.E Stories","2","4","90","90","90","2015","2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","",""
"T.I.M.E Stories: Estrella Drive","220836","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54831402","6.29507","7.21951","2.2083","0","7399","thing","T.I.M.E Stories: Estrella Drive","2","4","90","90","90","2017","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"T.I.M.E Stories: Expedition – Endurance","193527","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54831397","6.58163","7.35908","2.25","0","10263","thing","T.I.M.E Stories: Expedition – Endurance","2","4","90","90","60","2017","3,4","4","14+","Unplayable in another language","","","","","","expansion","","","","",""
"T.I.M.E Stories: The Marcy Case","180585","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54831394","6.96928","7.48539","2.6633","0","16946","thing","T.I.M.E Stories: The Marcy Case","2","4","90","90","60","2015","2,3,4","4","12+","Unplayable in another language","","","","","","expansion","","","","",""
"Take It or Leave It","87893","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479530","5.56429","6.11044","1.3667","11532","453","thing","Take It or Leave It","2","5","30","30","30","2010","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Takenoko","70919","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637243","7.06099","7.19926","1.9728","429","76105","thing","Takenoko","2","4","45","45","45","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Bombyx; Matagot; Pegasus Spiele","German","2014","German first edition"
"Tales & Games: The Hare & the Tortoise","130176","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481889","6.50795","7.06794","1.366","1273","6994","thing","Tales & Games: The Hare & the Tortoise","2","5","20","20","15","2011","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Tales of the Arabian Nights","34119","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52919630","6.84976","7.15728","2.1509","683","18395","thing","Tales of the Arabian Nights","2","6","120","120","120","2009","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Taluva","24508","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636840","6.78471","7.13767","2.2497","763","9129","thing","Taluva","2","4","45","45","45","2006","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","Hans im Glück; Schmidt Spiele","German","2006","German edition"
"Tante Tarantel","454","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51482159","5.54055","6.175","1.2667","14249","181","thing","Tante Tarantel","3","5","30","30","30","1991","3,4,5","3,4","8","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Tantrix","1038","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480779","5.8996","6.35838","2.2222","3787","4853","thing","Tantrix","1","6","30","30","30","1991","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Targi","118048","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478638","7.40655","7.5934","2.3435","169","42779","thing","Targi","2","2","60","60","60","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Terra","153507","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478603","6.15758","6.79795","1.4928","2350","3414","thing","Terra","2","6","45","45","45","2014","2,3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Terraforming Mars","167791","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53317431","8.19235","8.34208","3.2664","9","154169","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Tesla vs. Edison: War of Currents","132544","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632900","5.99012","6.68036","3.243","3169","3762","thing","Tesla vs. Edison: War of Currents","2","5","90","90","90","2015","3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Artana","English","2015","English first edition"
"That's Pretty Clever!","244522","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58712015","7.36683","7.55633","1.8549","197","44944","thing","That's Pretty Clever!","1","4","30","30","30","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Thebes","30869","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481829","6.8039","7.12064","2.1549","735","12434","thing","Thebes","2","4","60","60","60","2007","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"The Three Musketeers: The Queen's Pendants","55863","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480947","5.71865","6.77742","2.1","5808","801","thing","The Three Musketeers: The Queen's Pendants","2","5","45","45","45","2009","2,3,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Through the Ages: A New Story of Civilization","182028","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52178884","8.0226","8.25426","4.4404","16","39486","thing","Through the Ages: A New Story of Civilization","2","4","120","120","120","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Through the Ages: A Story of Civilization","25613","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633864","7.55527","7.82039","4.1775","110","18378","thing","Through the Ages: A Story of Civilization","2","4","120","120","120","2007","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Eagle-Gryphon Games","English","2007","English second edition, first printing"
"Thurn und Taxis","21790","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632455","6.91065","7.0922","2.2569","603","24119","thing","Thurn and Taxis","2","4","60","60","60","2006","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","999 Games","Dutch","2006","Dutch edition"
"Tichu","215","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478515","7.27805","7.57437","2.3438","247","26994","thing","Tichu","4","4","60","60","60","1991","4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Ticket to Ride","9209","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478710","7.26357","7.38661","1.8211","253","144177","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Ticket to Ride: Europa","14996","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","50637264","7.39708","7.52482","1.917","173","132933","thing","Ticket to Ride: Europe","2","5","60","60","30","2008","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Runadrake","Portuguese","2008","Runadrake Portuguese edition"
"Ticket to Ride: Märklin","21348","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635103","7.00028","7.41141","2.2436","487","12139","thing","Ticket to Ride: Märklin","2","5","60","60","30","2006","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Days of Wonder","English","2006","English first edition"
"Ticket to Ride: Nordic Countries","31627","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53396730","7.3019","7.62251","1.9646","234","24168","thing","Ticket to Ride: Nordic Countries","2","3","60","60","30","2007","2,3","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Ticket to Ride: Switzerland","30746","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634934","6.82691","7.48281","1.9476","0","7413","thing","Ticket to Ride: Switzerland","2","3","60","60","30","2007","2,3","3","8+","No necessary in-game text","","","","","","expansion","","Days of Wonder","Dutch; English; Finnish; French; German; Norwegian; Spanish; Swedish","2007","Multilingual edition"
"Tides of Time","176229","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58650349","6.31749","6.57662","1.5508","1780","11821","thing","Tides of Time","2","2","20","20","20","2015","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Tigris & Euphrates","42","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633775","7.5081","7.7038","3.4808","127","32187","thing","Tigris & Euphrates","2","4","120","120","60","2003","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","Mayfair Games","English","2003","Mayfair English edition 2003"
"Tikal","54","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635605","7.11062","7.31835","2.7774","374","28826","thing","Tikal","2","4","90","90","90","2000","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","Ravensburger","French; German; Italian","2000","Ravensburger German/French/Italian second edition with SdJ mark"
"Tiki Topple","34373","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478751","5.99212","6.48615","1.284","3157","4241","thing","Tiki Topple","2","4","20","20","20","2008","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Time's Up! Celebrity","38713","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634109","6.38579","7.55634","1.0784","1589","4009","thing","Time's Up! Edición Amarilla","4","12","30","30","30","2013","4,5,6,7,8,9,10,11,12","6,8,10","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Morapiaf","Portuguese","2013","Portuguese edition"
"Timeline: Inventions","85256","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634139","6.4158","6.69606","1.0917","1506","15746","thing","Timeline: Inventions","2","8","15","15","15","2013","2,3,4,5,6,7,8","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","asmodee","English","2013","Asmodee English edition 2013, first printing"
"Timeline: Music & Cinema","145189","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636871","6.21784","6.72115","1.086","2127","7037","thing","Timeline: Music & Cinema","2","8","15","15","15","2013","2,3,4,5,6,7,8","4,5,6","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","asmodee","English","2013","English edition 2013"
"Tiny Epic Kingdoms","148951","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","57403056","6.27218","6.53983","2.0977","1916","18789","thing","Tiny Epic Kingdoms","2","5","45","45","30","2014","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Tiny Epic Western","180852","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","57403060","6.19884","6.61938","2.8739","2194","12799","thing","Tiny Epic Western","1","4","45","45","30","2016","1,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"To Court the King","21632","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637006","6.09471","6.4526","1.7325","2629","3630","thing","To Court the King","2","5","45","45","45","2006","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Rio Grande Games","English","2006","English edition"
"Tokaido","123540","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776228","6.74445","6.91429","1.7422","821","43257","thing","Tokaido","1","5","45","45","45","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Toledo 1085","69105","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481365","5.53973","6.00577","1.8571","14377","716","thing","Toledo 1085","2","4","45","45","45","2010","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Tombouctou","691","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632663","6.00922","6.64347","2.7802","3052","2419","thing","Timbuktu","3","5","60","60","60","2005","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","Queen Games","English; French; German; Spanish","2005","Queen multilingual edition"
"Toni Tümpel","28238","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636153","5.51301","5.66272","1.2143","21021","465","thing","Kitty Bitty","2","6","15","15","15","2007","2,3,4","3,4","3–6","No necessary in-game text","","","","","","standalone","","Zoch Verlag","English; French; German","2007","Zoch edition"
"Top Race","932","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635464","5.95757","6.75507","1.75","3372","1709","thing","Top Race","2","6","45","45","45","2008","3,4,5,6","4,6","8+","No necessary in-game text","","","","","","standalone","","Pegasus Spiele","German","2008","Pegasus German edition"
"Top Speed","8336","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481095","5.51096","5.80581","1","21719","235","thing","Top Speed","2","2","10","10","10","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Toppletree","76120","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637497","0","6.30769","1.25","0","54","thing","Toppletree","2","4","10","10","10","2010","2,3,4","3,4","5+","No necessary in-game text","","","","","","standalone","","MindWare","English","2010","English second edition"
"Torres","88","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635574","6.75265","7.08216","2.8451","808","14748","thing","Torres","2","4","60","60","60","2005","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE; Rio Grande Games","English; French; German","2005","English/French/German edition"
"Tournay","105037","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55739671","6.34448","6.93947","2.8995","1700","4532","thing","Tournay","2","4","60","60","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Trafffic","90592","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637710","0","5.96429","1","0","63","thing","Trafffic","2","4","15","15","15","2010","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","Scorpion Masqué","English; French","2010","English/French edition"
"Trains","121408","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58270473","6.76706","7.11918","2.3798","785","10820","thing","Trains","2","4","45","45","45","2012","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Trajan","102680","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479284","7.47112","7.74588","3.6267","143","22001","thing","Trajan","2","4","120","120","60","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Trambahn","175293","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58797877","6.21166","6.93854","1.8","2148","3883","thing","Trambahn","2","2","45","45","30","2015","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Trans Europa","16267","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632598","6.18747","6.65478","1.4056","2241","3959","thing","Trans Europa","2","6","20","20","20","2005","3,4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","Winning Moves Germany","German","2005","German second edition"
"Travel Blog","85105","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633959","5.62821","6.07149","1.5185","7993","931","thing","Travel Blog","2","6","25","25","25","2010","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","Czech Games Edition; Z-Man Games","English; German","2010","English/German edition"
"Treasure Hunter","182189","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55739702","6.22372","6.74597","1.8929","2098","5527","thing","Treasure Hunter","2","6","40","40","40","2015","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Treehouse","21955","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481336","5.57115","5.82059","1.3125","10974","1946","thing","Treehouse","2","4","20","20","20","2006","2,3,4","3,4","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Trias","4249","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480531","5.93936","6.42309","2.3857","3494","2508","thing","Trias","2","5","45","45","45","2002","3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Trickerion: Legends of Illusion","163068","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775834","7.53381","7.96988","4.2605","116","17152","thing","Trickerion: Legends of Illusion","2","4","180","180","60","2015","2,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Triumvirate","53168","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481310","5.80197","6.64591","1.9265","4668","1024","thing","Triumvirate","2","2","30","30","20","2009","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
